time(h:m:s),ax,ay,az,anorm,rx,ry,rz,mx(raw),my(raw),mz(raw),mx(calib),my(calib),mz(calib),mx(calib&flt),my(calib&flt),mz(calib&flt),azimuth(calib),azimuth(calib&flt)
23:58:19,-0.024591,-0.717678,-0.618975,0.948049,-3.27913,5.43428,-7.06722,-3.3,24.9,-131.4,-3.3,24.9,-131.4,0,2.3348e-313,2.1226e-313,82.8506,90.4
23:58:19,-0.111481,-0.738832,-0.771745,1.07419,-9.69423,49.2976,45.321,-3.3,24.3,-130.2,-3.3,24.3,-130.2,0,2.3348e-313,2.1226e-313,82.6664,90.4
23:58:19,-0.0300933,-0.694912,-0.810568,1.0681,-17.4781,43.1464,50.4222,-3.3,25.2,-131.1,-3.3,25.2,-131.1,0,6.79039e-313,2.1226e-313,82.9394,90.4
23:58:19,-0.035868,-0.567056,-0.725168,0.921253,-9.38938,47.2822,48.8979,-2.85,25.65,-129.45,-2.85,25.65,-129.45,0,6.79039e-313,2.1226e-313,84.0598,90.4
23:58:19,-0.049776,-0.570472,-0.679296,0.888459,-16.2485,43.0143,40.2402,-2.7,26.4,-128.1,-2.7,26.4,-128.1,0,6.79039e-313,6.06837e-317,84.5605,90.4
23:58:19,-0.072468,-0.559004,-0.630984,0.846096,-17.0716,35.0577,37.6185,-1.35,25.65,-126.75,-1.35,25.65,-126.75,0,1.03978e-312,6.06834e-317,87.3872,90.4
23:58:19,-0.085888,-0.554856,-0.61244,0.830858,-12.7427,28.9608,37.2527,-1.65,25.05,-126.75,-1.65,25.05,-126.75,0,2.39786e-312,2.47033e-323,86.6315,90.4
23:58:19,-0.033672,-0.581452,-0.593164,0.831302,-8.07853,21.309,35.3626,-0.75,23.85,-125.85,-0.75,23.85,-125.85,0,23.85,2.47033e-323,88.5988,90.4
23:58:19,0.010736,-0.628544,-0.59536,0.865815,-4.45081,13.2915,32.1312,0,26.1,-127.5,0,26.1,-127.5,0,24.3,2.47033e-323,90.4,90.4
23:58:19,0.024888,-0.726876,-0.63928,0.968322,0.12194,6.03603,27.3755,-0.9,24.9,-126,-0.9,24.9,-126,0,24.3,-1.95656e-50,88.33,90.4
23:58:20,-0.003904,-0.79788,-0.715408,1.07165,4.20693,-1.09746,20.425,0,25.8,-126.9,0,25.8,-126.9,0,24.9,-125.85,90.4,90.4
23:58:20,-0.0122,-0.811056,-0.775432,1.12217,5.4873,-5.06051,12.3159,-1.35,25.95,-126.75,-1.35,25.95,-126.75,0,24.9,-126,87.422,90.4
23:58:20,0.013908,-0.80642,-0.772016,1.11647,7.62125,-9.1455,-0.823095,0.15,25.05,-126.45,0.15,25.05,-126.45,0,25.05,-126.45,90.7431,90.4
23:58:20,-0.064904,-0.844728,-0.835944,1.1902,6.95058,-13.1695,-8.35289,0.15,26.55,-126.15,0.15,26.55,-126.15,0,25.05,-126.45,90.7237,90.4
23:58:20,-0.146644,-0.802516,-0.917928,1.22806,-5.51778,-22.2236,-6.85913,-0.9,26.4,-126.6,-0.9,26.4,-126.6,-0.75,25.2,-126.6,88.4475,88.6953
23:58:20,-0.08784,-0.781776,-0.837896,1.14933,-13.1086,-26.461,-8.77968,0.3,26.4,-129,0.3,26.4,-129,-0.75,25.65,-126.75,91.0511,88.7252
23:58:20,-0.10614,-0.823256,-0.690764,1.07989,-2.86559,-22.437,-20.7298,-0.3,27,-126.9,-0.3,27,-126.9,-0.75,25.65,-126.75,89.7634,88.7252
23:58:20,-0.137616,-0.832528,-0.563152,1.01449,10.5478,-14.0841,-30.424,-0.75,26.85,-127.65,-0.75,26.85,-127.65,-0.75,25.65,-126.75,88.8,88.7252
23:58:20,-0.211792,-0.76738,-0.620492,1.00933,11.7367,-8.3224,-28.6559,-0.75,26.55,-127.65,-0.75,26.55,-127.65,-0.75,25.8,-126.9,88.7819,88.7349
23:58:20,-0.155672,-0.719556,-0.668804,0.994632,4.42033,-14.8462,-22.3455,-0.9,24,-127.8,-0.9,24,-127.8,-0.9,25.8,-126.9,88.2524,88.4021
23:58:20,-0.088816,-0.760792,-0.600728,0.97343,1.95104,-20.425,-20.9737,-1.8,25.8,-129,-1.8,25.8,-129,-0.9,25.8,-126.9,86.4091,88.4021
23:58:20,-0.06344,-0.7625,-0.544364,0.939022,4.8776,-18.7788,-18.7178,-0.75,25.05,-127.95,-0.75,25.05,-127.95,-0.75,25.8,-126.9,88.6851,88.7349
23:58:20,-0.061488,-0.693204,-0.563884,0.8957,6.43234,-14.8157,-15.8217,-1.05,25.05,-129.15,-1.05,25.05,-129.15,-0.75,25.8,-126.9,87.9998,88.7349
23:58:20,-0.052704,-0.660264,-0.565104,0.870671,4.20693,-15.5474,-14.9377,-0.9,24.9,-129.3,-0.9,24.9,-129.3,-0.75,25.8,-126.9,88.33,88.7349
23:58:20,-0.042212,-0.667584,-0.552416,0.867533,0.701155,-17.4679,-14.2975,-1.2,24.9,-130.2,-1.2,24.9,-130.2,-0.75,25.8,-126.9,87.6409,88.7349
23:58:20,-0.009272,-0.70516,-0.54412,0.890732,-2.59123,-16.4619,-9.9686,-1.05,25.35,-129.45,-1.05,25.35,-129.45,-0.75,25.8,-127.5,88.0282,88.7349
