time(h:m:s),Satellites,Latitude,Longitude,Altitude,Time,Course,Speed,azimuth(calib&flt)
23:58:21,0,35.6433983,139.523595,33.7,0,297.93,0.252,77.1769
23:58:21,0,35.6433983,139.523595,33.7,0,297.93,0.252,77.474
23:58:21,0,35.6433983,139.523595,33.7,0,297.93,0.252,77.474
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,77.7046
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,77.7046
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,78.3052
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,79.2112
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,79.5145
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,80.0673
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,81.1974
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,81.6063
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,81.6538
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,81.9616
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,82.2699
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,82.3137
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,82.6209
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,82.6209
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,82.5786
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,82.5786
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,82.4492
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,82.5786
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,82.4492
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,82.4928
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,82.4928
23:58:22,0,35.6433983,139.523595,33.7,0,297.93,0.252,82.3137
23:58:22,15,35.6433983,139.523595,33.7,1605679914,297.93,0.252,82.0071
23:58:22,15,35.6433983,139.523595,33.7,1605679914,297.93,0.252,81.6538
23:58:22,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,80.4279
23:58:22,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,80.4279
23:58:22,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,79.5725
23:58:22,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,79.2708
23:58:22,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,79.2708
23:58:22,15,35.6433967,139.523595,33.7,1605679915,297.93,0.288,79.2708
