time(h:m:s),Satellites,Latitude,Longitude,Altitude,Time,Course,Speed
01:54:51,15,35.6429733,139.5234200,26.6000000,1607580920,252.78,0.329
01:54:51,15,35.6429733,139.5234200,26.6000000,1607580920,252.78,0.329
01:54:51,15,35.6429733,139.5234200,26.6000000,1607580920,252.78,0.329
01:54:51,15,35.6429733,139.5234200,26.6000000,1607580920,252.78,0.329
01:54:51,15,35.6429733,139.5234200,26.6000000,1607580920,252.78,0.329
01:54:51,15,35.6429733,139.5234200,26.6000000,1607580920,252.78,0.329
01:54:51,15,35.6429733,139.5234200,26.6000000,1607580920,252.78,0.329
01:54:51,15,35.6429733,139.5234200,26.6000000,1607580920,252.78,0.329
01:54:51,15,35.6429733,139.5234200,26.6000000,1607580920,252.78,0.329
01:54:51,15,35.6429733,139.5234200,26.6000000,1607580920,252.78,0.329
01:54:51,15,35.6429733,139.5234200,26.6000000,1607580920,252.78,0.329
01:54:51,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:51,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:51,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429850,139.5234183,26.5000000,1607580921,252.78,0.293
01:54:52,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:52,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:52,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
01:54:53,15,35.6429933,139.5234167,26.4000000,1607580922,293.27,0.309
