time(h:m:s),TotalReceivedCount,RSSI
21:59:28,0,-999
21:59:30,0,-999
21:59:30,0,-999
21:59:30,0,-999
21:59:30,0,-999
21:59:30,0,-999
21:59:30,0,-999
21:59:30,0,-999
21:59:30,0,-999
21:59:30,0,-999
21:59:30,0,-999
21:59:30,0,-999
21:59:30,0,-999
21:59:30,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:31,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:32,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:33,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:34,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:35,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:36,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:37,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:38,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:39,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:40,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
21:59:41,0,-999
